BATSMAN_IN_POWER_PLAY,TOTAL_RUNS,TOTAL_BALL_FACED,STIRKE_RATE,BATTING_AVG,FOURS,SIXES
"V Sehwag",1785,1284,139.02,25.87,250,53
"DA Warner",2829,2169,130.43,46.38,342,89
"KL Rahul",1283,995,128.94,58.32,137,50
"CH Gayle",2541,1979,128.40,37.37,264,162
"AC Gilchrist",1477,1160,127.33,28.96,195,56
"Q de Kock",1327,1048,126.62,39.03,150,49
"SK Raina",1845,1485,124.24,39.26,221,59
"F du Plessis",1088,876,124.20,41.85,128,35
"BB McCullum",1744,1430,121.96,28.13,198,80
"DR Smith",1365,1128,121.01,42.66,163,58
