BOWLER_NAME,MATCH_PLAYED,BOWLING_AVG
"SL Malinga",122,18.54
"A Nehra",88,20.97
"DJ Bravo",137,22.11
"JJ Bumrah",92,22.31
"SP Narine",119,22.43
"YS Chahal",98,22.44
"B Kumar",121,22.83
"Sandeep Sharma",92,22.96
"A Mishra",150,23.15
"R Vinay Kumar",104,23.79
"Z Khan",99,24.03
"RP Singh",82,24.17
"PP Ojha",90,24.23
"DW Steyn",95,24.46
"R Ashwin",151,24.55
"MM Sharma",86,24.88
"Harbhajan Singh",157,25.08
"JA Morkel",87,25.09
"R Bhatia",91,25.11
"SR Watson",105,25.63
"AB Dinda",75,25.65
"PP Chawla",163,26.40
"SK Trivedi",75,26.63
"UT Yadav",120,26.80
"DS Kulkarni",91,27.09
"IK Pathan",101,27.38
"JD Unadkat",79,27.81
"KA Pollard",92,27.82
"AR Patel",96,28.76
"RA Jadeja",155,28.81
"YK Pathan",82,31.37
"JH Kallis",89,31.73
"P Kumar",119,32.76
"I Sharma",90,36.73
