BOWLER_NAME,THREE_WICKET_HAUL,FOUR_WICKET_HAUL,FIVE_WICKET_HAUL
"UT Yadav",15,4,0
"A Nehra",15,2,1
"A Mishra",14,4,1
"SL Malinga",13,9,2
"JJ Bumrah",12,5,0
"DJ Bravo",12,4,0
"R Vinay Kumar",12,2,1
"Harbhajan Singh",11,3,1
"DW Steyn",11,0,0
"SR Watson",10,2,0
"Rashid Khan",10,0,0
"Z Khan",9,3,0
"PP Chawla",9,3,0
"Sandeep Sharma",9,3,0
"B Kumar",9,2,1
"RP Singh",8,3,1
"RA Jadeja",8,3,1
"YS Chahal",8,2,0
"MM Sharma",8,1,1
"DS Kulkarni",8,1,0
"IK Pathan",8,0,0
"Imran Tahir",7,5,0
"JA Morkel",7,3,0
"CH Morris",7,3,0
"AB Dinda",7,2,0
"MJ McClenaghan",7,2,0
"PP Ojha",7,1,0
"KK Ahmed",7,0,0
"R Bhatia",6,2,0
"JD Unadkat",6,1,2
"JP Faulkner",6,1,2
"R Ashwin",6,1,1
"RJ Harris",6,1,0
"NM Coulter-Nile",6,1,0
"P Kumar",6,0,0
"KH Pandya",6,0,0
"JC Archer",6,0,0
"SP Narine",5,5,3
"K Rabada",5,4,0
"MM Patel",5,3,1
"M Morkel",5,3,0
"Mohammed Shami",5,1,0
"TA Boult",5,1,0
"Kuldeep Yadav",5,1,0
"Iqbal Abdulla",5,0,0
"NLTC Perera",5,0,0
"Azhar Mahmood",5,0,0
"L Balaji",4,3,1
"DE Bollinger",4,2,0
"MA Starc",4,2,0
"KV Sharma",4,1,1
"M Muralitharan",4,1,0
"SK Warne",4,1,0
"MF Maharoof",4,1,0
"Sohail Tanvir",4,1,0
"DP Nannes",4,1,0
"KK Cooper",4,1,0
"AD Russell",4,1,0
"S Kaul",4,1,0
"S Gopal",4,1,0
"JH Kallis",4,0,0
"PJ Sangwan",4,0,0
"HH Pandya",4,0,0
"SK Trivedi",3,4,0
"Yuvraj Singh",3,2,0
"S Aravind",3,2,0
"SW Tait",3,1,0
"P Awana",3,1,0
"SN Thakur",3,1,0
"CJ Jordan",3,1,0
"Mohammed Siraj",3,1,0
"SM Curran",3,1,0
"I Sharma",3,0,1
"TG Southee",3,0,1
"AB Agarkar",3,0,0
"MS Gony",3,0,0
"YK Pathan",3,0,0
"WPUJC Vaas",3,0,0
"Harmeet Singh",3,0,0
"AG Murtaza",3,0,0
"Shakib Al Hasan",3,0,0
"R Tewatia",3,0,0
"Mustafizur Rahman",3,0,0
"DL Chahar",3,0,0
"BA Stokes",3,0,0
"CR Woakes",3,0,0
"Washington Sundar",3,0,0
"AJ Tye",2,2,2
"ST Jayasuriya",2,1,0
"A Singh",2,1,0
"WD Parnell",2,1,0
"P Negi",2,1,0
"MG Johnson",2,1,0
"JO Holder",2,1,0
"AR Patel",2,1,0
"MP Stoinis",2,1,0
"L Ngidi",2,1,0
"DL Vettori",2,0,1
"SC Ganguly",2,0,0
"LR Shukla",2,0,0
"S Sreesanth",2,0,0
"VRV Singh",2,0,0
"MC Henriques",2,0,0
"Anureet Singh",2,0,0
"RE van der Merwe",2,0,0
"J Botha",2,0,0
"S Nadeem",2,0,0
"HV Patel",2,0,0
"BE Hendricks",2,0,0
"M Ashwin",2,0,0
"CR Brathwaite",2,0,0
"T Natarajan",2,0,0
"RD Chahar",2,0,0
"LH Ferguson",2,0,0
"S Lamichhane",2,0,0
"Ravi Bishnoi",2,0,0
"A Kumble",1,2,2
"YA Abdulla",1,2,0
"SB Jakati",1,2,0
"KA Pollard",1,2,0
"DR Smith",1,1,0
"AD Mathews",1,1,0
"AB McDonald",1,1,0
"GB Hogg",1,1,0
"PV Tambe",1,1,0
"PJ Cummins",1,1,0
"Karanveer Singh",1,1,0
"D Wiese",1,1,0
"M Markande",1,1,0
"KMA Paul",1,1,0
"A Nortje",1,1,0
"VY Mahesh",1,0,1
"CRD Fernando",1,0,1
"AD Mascarenhas",1,0,1
"BJ Hodge",1,0,1
"AS Rajpoot",1,0,1
"M Prasidh Krishna",1,0,1
"JDP Oram",1,0,0
"B Lee",1,0,0
"AM Nayar",1,0,0
"SB Styris",1,0,0
"A Symonds",1,0,0
"Shahid Afridi",1,0,0
"JD Ryder",1,0,0
"CH Gayle",1,0,0
"RS Bopara",1,0,0
"D du Preez",1,0,0
"CK Langeveldt",1,0,0
"A Uniyal",1,0,0
"R McLaren",1,0,0
"JM Kemp",1,0,0
"R Sharma",1,0,0
"J Theron",1,0,0
"SB Wagh",1,0,0
"AN Ahmed",1,0,0
"L Ablish",1,0,0
"STR Binny",1,0,0
"AC Thomas",1,0,0
"VR Aaron",1,0,0
"JE Taylor",1,0,0
"P Parameswaran",1,0,0
"M de Lange",1,0,0
"MN Samuels",1,0,0
"DAJ Bracewell",1,0,0
"V Pratap Singh",1,0,0
"A Ashish Reddy",1,0,0
"RJ Peterson",1,0,0
"BW Hilfenhaus",1,0,0
"R Rampaul",1,0,0
"DJG Sammy",1,0,0
"CJ Anderson",1,0,0
"BB Sran",1,0,0
"AF Milne",1,0,0
"S Kaushik",1,0,0
"SM Boland",1,0,0
"A Zampa",1,0,0
"C de Grandhomme",1,0,0
"Mujeeb Ur Rahman",1,0,0
"LE Plunkett",1,0,0
"IS Sodhi",1,0,0
"S Dube",1,0,0
"GC Viljoen",1,0,0
"Umar Gul",0,2,0
"RG Sharma",0,2,0
"Kamran Khan",0,2,0
"GD McGrath",0,1,0
"SM Pollock",0,1,0
"M Kartik",0,1,0
"M Ntini",0,1,0
"Shoaib Akhtar",0,1,0
"T Thushara",0,1,0
"KP Appanna",0,1,0
"JP Duminy",0,1,0
"S Narwal",0,1,0
"MR Marsh",0,1,0
"BA Bhatt",0,1,0
"PC Valthaty",0,1,0
"Anand Rajan",0,1,0
"A Chandila",0,1,0
"S Badree",0,1,0
"KW Richardson",0,1,0
"Basil Thampi",0,1,0
"Mohammad Nabi",0,1,0
"MM Ali",0,1,0
"Arshdeep Singh",0,1,0
"CV Varun",0,0,1
