BATTING_TEAM_GOT_OUT_BY,CAUGHT,CAUGHT_AND_BOWLED,RUN_OUT,BOWLED,LBW,STUMPED,HIT_WICKET,RETIRED_HURT,OBSTRUCTING_THE_FIELD
"Mumbai Indians",738,32,59,190,86,33,2,7,NULL
"Kings XI Punjab",707,29,59,206,70,30,NULL,NULL,NULL
"Kolkata Knight Riders",678,27,57,185,75,30,1,1,1
"Royal Challengers Bangalore",666,26,53,226,68,31,2,NULL,NULL
"Delhi Daredevils",578,24,52,172,56,27,NULL,NULL,NULL
"Chennai Super Kings",565,30,60,143,56,35,1,NULL,NULL
"Rajasthan Royals",564,35,52,179,42,35,2,NULL,NULL
"Sunrisers Hyderabad",425,26,40,120,29,18,4,1,NULL
"Deccan Chargers",285,13,21,91,27,18,NULL,1,NULL
"Pune Warriors",163,11,16,65,16,12,NULL,NULL,NULL
"Delhi Capitals",140,2,13,33,17,6,NULL,NULL,1
"Gujarat Lions",103,6,10,41,13,8,NULL,NULL,NULL
"Rising Pune Supergiant",48,4,5,19,8,3,NULL,NULL,NULL
"Kochi Tuskers Kerala",44,2,4,20,7,2,NULL,NULL,NULL
"Rising Pune Supergiants",39,2,4,10,1,6,NULL,1,NULL
