IPL_EDITION,WICKETKEEPER,STUMPING,TEAM
2008,"Kamran Akmal",4,"Rajasthan Royals"
2009,"AC Gilchrist",8,"Deccan Chargers"
2010,"KD Karthik",6,"Delhi Daredevils"
2010,"MS Dhoni",6,"Chennai Super Kings"
2011,"MS Dhoni",5,"Chennai Super Kings"
2012,"BB McCullum",6,"Kolkata Knight Riders"
2013,"PA Patel",3,"Sunrisers Hyderabad"
2013,"MS Bisla",3,"Kolkata Knight Riders"
2014,"RV Uthappa",7,"Kolkata Knight Riders"
2015,"RV Uthappa",5,"Kolkata Knight Riders"
2016,"MS Dhoni",4,"Rising Pune Supergiants"
2016,"RV Uthappa",4,"Kolkata Knight Riders"
2016,"KL Rahul",4,"Royal Challengers Bangalore"
2017,"RV Uthappa",6,"Kolkata Knight Riders"
2018,"KD Karthik",4,"Kolkata Knight Riders"
2018,"H Klaasen",4,"Rajasthan Royals"
2019,"RR Pant",6,"Delhi Capitals"
2020,"Q de Kock",4,"Mumbai Indians"
