IPL_EDITION,PURPLE_CAP_HOLDER,WICKETS_TAKEN,TEAM
2008,"Sohail Tanvir",22,"Rajasthan Royals"
2009,"RP Singh",25,"Deccan Chargers"
2010,"PP Ojha",21,"Deccan Chargers"
2011,"SL Malinga",29,"Mumbai Indians"
2012,"M Morkel",26,"Delhi Daredevils"
2013,"DJ Bravo",33,"Chennai Super Kings"
2014,"MM Sharma",25,"Chennai Super Kings"
2015,"DJ Bravo",28,"Chennai Super Kings"
2016,"B Kumar",24,"Sunrisers Hyderabad"
2017,"B Kumar",27,"Sunrisers Hyderabad"
2018,"AJ Tye",28,"Kings XI Punjab"
2019,"K Rabada",28,"Delhi Capitals"
2020,"K Rabada",30,"Delhi Capitals"
