TEAMS,MATCH_PLYAED,TOSS_WIN,TOSS_LOSS,BAT_FIRST,FIELD_FIRST,TOSS_WIN_PERCENTAGE
"Mumbai Indians",117,91,26,39,52,83.44
"Kolkata Knight Riders",110,85,25,29,56,79.91
"Rising Pune Supergiant",8,6,2,0,6,75.00
"Delhi Daredevils",90,69,21,26,43,73.78
"Rajasthan Royals",89,68,21,24,44,73.44
"Royal Challengers Bangalore",97,70,27,18,52,71.61
"Gujarat Lions",17,13,4,1,12,71.59
"Chennai Super Kings",78,60,18,25,35,69.87
"Kings XI Punjab",67,50,17,17,33,66.25
"Sunrisers Hyderabad",45,35,10,14,21,60.67
"Delhi Capitals",21,18,3,7,11,59.38
"Kochi Tuskers Kerala",9,8,1,3,5,58.56
"Deccan Chargers",37,30,7,16,14,53.84
"Rising Pune Supergiants",7,5,2,2,3,44.86
"Pune Warriors",24,16,8,10,6,35.00
